الهدف الاستراتيجي,المبادرة الاستراتيجية,الإدارة/القسم,المشروع التشغيلي,مؤشر القياس,المستهدف,المنجز,نسبة إنجاز المؤشر,نسبة إنجاز المشروع
تمكين الكفاءات الوظيفية والتطوعية المتخصصة,برنامج التطوع في خدمة ضيوف الرحمن,قسم التطوع,إدارة المبادرات والأنشطة التطوعية,قياس رضا وتجربة المتطوعين,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول
تمكين الكفاءات الوظيفية والتطوعية المتخصصة,برنامج التطوع في خدمة ضيوف الرحمن,قسم التطوع,إدارة المبادرات والأنشطة التطوعية,معدل تسرب المتطوعين,5%,5%,100%,98%
تمكين الكفاءات الوظيفية والتطوعية المتخصصة,برنامج التطوع في خدمة ضيوف الرحمن,قسم التطوع,البرامج التدريبية للمتطوعين,عدد البرامج التدريبية للمتطوعين,3,5,100%,100%
تمكين الكفاءات الوظيفية والتطوعية المتخصصة,برنامج التطوع في خدمة ضيوف الرحمن,قسم التطوع,بيئات التطوع,عدد الفرص التطوعية المصممة والمعتمدة,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول
تمكين الكفاءات الوظيفية والتطوعية المتخصصة,برنامج التطوع في خدمة ضيوف الرحمن,قسم التطوع,بيئات التطوع,عدد الفرق التطوعية التخصصية المنشأة والمفعلة,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول
تنمية الموارد المالية والأصول الوقفية والاستثمارية,تعزيز الكفاءة المالية,الإدارة المالية,ترشيد المصروفات التشغيلية,نسبة خفض المصروفات,30%,27%,90%,90%
تنمية الموارد المالية والأصول الوقفية والاستثمارية,تعزيز الكفاءة المالية,الإدارة المالية,الامتثال الضريبي,نسبة الالتزام بالامتثال الضريبي,85%,85%,100%,100%
تنمية الموارد المالية والأصول الوقفية والاستثمارية,تعزيز الكفاءة المالية,الإدارة المالية,إدارة الحسابات المالية,نسبة إغلاق العمليات المالية في الوقت المحدد,100%,40%,40%,40%
تنمية الموارد المالية والأصول الوقفية والاستثمارية,تعزيز الكفاءة المالية,الإدارة المالية,الأرشفة الإلكترونية المالية,"نسبة الوثائق المؤرشفة إلكترونياً
لعام 2023 - 2024",40%,50%,100%,100%
تنمية الموارد المالية والأصول الوقفية والاستثمارية,تعزيز الكفاءة المالية,الإدارة المالية,تطوير التقارير المالية الدورية,عدد تقارير التحليل المالي,3,3,100%,100%
تنمية الموارد المالية والأصول الوقفية والاستثمارية,برنامج تعزيز العلاقات مع الجهات المانحة,إدارة تنمية الموارد المالية,تطوير علاقات المانحين,"نسبة الجهات المانحة الفاعلة
(التي قدمت دعماً خلال العام)",15%,24%,100%,100%
تنمية الموارد المالية والأصول الوقفية والاستثمارية,برنامج تنمية تبرعات الأفراد,إدارة تنمية الموارد المالية,تطوير قنوات التبرع,عدد قنوات التبرع الجديدة المفعلة,20,16,80%,80%
تنمية الموارد المالية والأصول الوقفية والاستثمارية,برنامج تنمية تبرعات الأفراد,إدارة تنمية الموارد المالية,إدارة تجربة المتبرع,نسبة رضا المتبرعين,100%,0%,0%,0%
تنمية الموارد المالية والأصول الوقفية والاستثمارية,برنامج الإسناد والمنافسات الحكومية,قسم الإسناد الحكومي,مشروع المنافسات الحكومية,عدد المنافسات التي حصلت عليها الجمعية,2,2,100%,100%
تنمية الموارد المالية والأصول الوقفية والاستثمارية,برنامج الإسناد والمنافسات الحكومية,قسم الإسناد الحكومي,تصميم المبادرات والفرص الحكومية,عدد الفرص الحكومية المصممة,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول
تنمية الموارد المالية والأصول الوقفية والاستثمارية,برنامج الاستثمار الاجتماعي,قسم الاستثمار الاجتماعي,تطوير مشاريع الاستثمار الاجتماعي,عدد مشاريع الاستثمار الاجتماعي النشطة,6,5,83%,83%
تنمية الموارد المالية والأصول الوقفية والاستثمارية,برنامج الاستثمار الاجتماعي,قسم الاستثمار الاجتماعي,تطوير مشاريع الاستثمار الاجتماعي,عدد الفرص الاستثمارية المستقطبة الواعدة,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول
تنمية الموارد المالية والأصول الوقفية والاستثمارية,برنامج الاستثمار الاجتماعي,قسم الاستثمار الاجتماعي,دراسة الجدوى الاستثمارية,عدد المشاريع التي تمت دراسة جدواها,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول
تنمية الموارد المالية والأصول الوقفية والاستثمارية,مشروع تأسيس وتشغيل مكتب إدارة الأوقاف والاستثمار,مكتب الأوقاف والاستثمار,حوكمة وتوثيق الأوقاف,نسبة الأوقاف الموثقة نظامياً,,,,
تنمية الموارد المالية والأصول الوقفية والاستثمارية,مشروع تأسيس وتشغيل مكتب إدارة الأوقاف والاستثمار,مكتب الأوقاف والاستثمار,تنمية التبرعات الوقفية,"إجمالي التبرعات المحصلة
(تعظيم رأس المال الوقفي والاستثماري)",7000000,0,0%,0%
تنمية الموارد المالية والأصول الوقفية والاستثمارية,مشروع تأسيس وتشغيل مكتب إدارة الأوقاف والاستثمار,مكتب الأوقاف والاستثمار,مشروع تفعيل واستثمار الأوقاف المعطلة,عدد الأوقاف والأصول المستثمرة,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول
تنمية الموارد المالية والأصول الوقفية والاستثمارية,مشروع تأسيس وتشغيل مكتب إدارة الأوقاف والاستثمار,مكتب الأوقاف والاستثمار,مشروع تفعيل واستثمار الأوقاف المعطلة,قيمة العوائد السنوية للأوقاف بعد التفعيل,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول
